fraction_correct  true-neg    false-pos   false-neg   true-pos
0.76599902296043  751         234         245         817
0.7552515876893   754         227         274         792
0.75867122618466  797         255         239         756
0.75280898876404  768         245         261         773
0.75232046897899  785         250         257         755
0.74499267220322  752         257         265         773
0.75476306790425  772         247         255         773
0.74499267220322  775         235         287         750
0.76013678553981  813         243         248         743
0.76795310210063  787         230         245         785
